Dados do Projeto ;;;;;;;;;;;;;;
;M³ In Situ;M³ Empolado ;136%;;Inicio ;Final ;;;;;;;;
Volume de Escavação Total ; 12.981,27 ; 17.654,53 ;;Prazo para Executar ;06/04/2026;30/04/2026; 19,00 ;;;;;;;
Volume de Escavação Local 01; -   ; -   ;;Dias Uteis no Mês;06/04/2026;30/04/2026; 20,00 ;06/abr;30/abr; 19,00 ;;;;
Volume de Escavação Local 02; -   ; -   ;;Total de dias Uteis do Contrato ;;;22;;;;;;;
Volume de Aterro ; 12.981,27 ; 12.981,27 ;100%;Prazo em Meses do contrato ; 0 ; 5 ;;;;;;;;
Volume de Bota Fora ; -   ; -   ;;Horas Trabalhadas Por Dia ;8;;;;;;;;;
; 12.981,27 ; 12.981,27 ;;Horas Trabalhadas Por Mes ; 160,00 ;;;;;;;;;
Total de Viagens do Projeto ;;;;Total de Horas do Projeto ; 32,98 ;;;;;;;;;
;;;;; 4,12 ;;;;;;;;;
Área do Terreno; 13.321,10 ;;;Valor do Diesel Para Orçamento ; R$ 5,50 ;;;;;;;;;
Transporte para Local 01; 3.996,33 ;;;Custo de Manutenção ;10%;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Prazo em Dias Uteis ;;;;;Produtividade Por Hora ;;Total de Horas com essa produção ;; 32,98 ;;;;MOBI / DESMOBI ;0
Escavação e Carga Com Escavadeira ;M³ In Situ;M³ Empolado ;;;Viagens ;M³ Empolado ;M³ Produzido Dia;Viagens Dia ;M³ Hora ;;;; R$ -   ;
Escavadeira  312 DL;15;20;0;Escavadeira  312 DL;10; 96,00 ; -   ;0; -   ;;;; R$ -   ;
Escavadeira  320DL;9;9;1;Escavadeira  320DL;16; 153,60 ; 1.228,80 ;128; 153,60 ;;;; R$ -   ;
Escavadeira  336DL;6;8;1;Escavadeira  336DL;25; 240,00 ; 1.920,00 ;200; 240,00 ;;;; R$ -   ;
Escavadeira  345 GC;5;7;0;Escavadeira  345 GC;30; 288,00 ; -   ;0; -   ;;;; R$ -   ;
;;;;;;;;;;;;; R$ -   ;
Total  em Horas para Finalizar o Contrato ;;;0;Trator de esteiras (N);;; 3.148,80 ;328; 393,60 ;;;; R$ -   ;
Escavação e Carga Com Escavadeira ;Horas do Material  In Situ;Horas do Material  Empolado ;0;Trator de esteiras (T);;;;;;;;; R$ -   ;
Escavadeira  312 DL;120;163;1;Patrol;;;;;;;;; R$ -   ;
Escavadeira  320DL;75;75;0,5;Grade;;;;;;;;; R$ -   ;
Escavadeira  336DL;48;65;2;Rolo Compactador;;;;;;;;; R$ -   ;
Escavadeira  345 GC;40;54;0,5;Caminhão Pipa;;;;;;;;; R$ -   ;
;;;1;Apontador ;;;;;;;;;;
Prazo em Dias Uteis ;;;1;Administrativo ;;;;;;;;; R$ -   ;
Limpesa de Terreno ;M² ;;1;Topografia;;;;;;;;;;
Escavadeira  312 DL;3;;1;Laboratório ;;;;;;;;;;
;;;1;Alojamento ;;;;;;;;;;
Total  em Horas para Finalizar o Contrato de Limpesa;;;1;Alimentação;; R$ 0,75 ;;;;;;;;
;M² ;;0;Vigilancia ;; R$ 4,90 ;;;;;;;;
Escavadeira  312 DL;23,68195556;;;;;;;;210000;;;;;
;;;;;;;;; 16,18 ;;;;;
